,Return
2016-07-04,0.26975888466200654
2016-07-11,0.2922811072642891
2016-07-18,0.3577389057609641
2016-07-25,0.37963180487982545
2016-08-01,0.40385951491135247
2016-08-08,0.4423578165257224
2016-08-15,0.4422548852231844
2016-08-22,0.4575238662603031
2016-08-29,0.435165278695679
2016-09-05,0.483675741146674
2016-09-12,0.4467916431090322
2016-09-19,0.4119348748927349
2016-09-26,0.44316058017709203
2016-10-03,0.4414382611628174
2016-10-10,0.4749218061060807
2016-10-17,0.5032703920402607
2016-10-24,0.5545444700949544
2016-10-31,0.5813963368414018
2016-11-07,0.5483816205728104
2016-11-14,0.5397104016533882
2016-11-21,0.5523386051590149
2016-11-28,0.6040416984429222
2016-12-05,0.5788361708749555
2016-12-12,0.5775496995461117
2016-12-19,0.5398068833805372
2016-12-26,0.5150603131357279
2017-01-02,0.5559208044162864
2017-01-09,0.5796748713349333
2017-01-16,0.6314869450106266
2017-01-23,0.6357226807378256
2017-01-30,0.6632514608465543
2017-02-06,0.64352829815061
2017-02-13,0.667912002495138
2017-02-20,0.6859938604757968
2017-02-27,0.6724516951452579
2017-03-06,0.6727919636682849
2017-03-13,0.6287033322558555
2017-03-20,0.6204809694437161
2017-03-27,0.6062330840559859
2017-04-03,0.598920672413424
2017-04-10,0.5725444654525893
2017-04-17,0.5346547690447406
2017-04-24,0.5489329548533785
2017-05-01,0.5925896011952313
2017-05-08,0.5796594590870365
2017-05-15,0.6150257503537511
2017-05-22,0.510569714822408
2017-05-29,0.5376901276848072
2017-06-05,0.5067994638144914
2017-06-12,0.49594311854634754
2017-06-19,0.47618184130476277
2017-06-26,0.47555325605219884
2017-07-03,0.5198616642929424
2017-07-10,0.5505898351411476
2017-07-17,0.5792025724338744
2017-07-24,0.5611360496474447
2017-07-31,0.5740336720437131
2017-08-07,0.6025829935868625
2017-08-14,0.6049995758408628
2017-08-21,0.6220806572355537
2017-08-28,0.7040177606311935
2017-09-04,0.7078126739196922
2017-09-11,0.7189992706273456
2017-09-18,0.7555431354011504
2017-09-25,0.7394557937067392
2017-10-02,0.7123027689513118
2017-10-09,0.7383102508789049
2017-10-16,0.7550167928323308
2017-10-23,0.7515387132601639
2017-10-30,0.7533597538290048
2017-11-06,0.705692217156479
2017-11-13,0.6876540332316206
2017-11-20,0.7036762744133127
2017-11-27,0.7232328860495587
2017-12-04,0.694047288178968
2017-12-11,0.70172395123265
2017-12-18,0.7021387116716797
2017-12-25,0.7443909198398162
2018-01-01,0.7563821618130911
2018-01-08,0.7894559143329402
2018-01-15,0.7904740649978024
2018-01-22,0.8120569110904976
2018-01-29,0.873353228906741
2018-02-05,0.8450860249843044
2018-02-12,0.8369075328958685
2018-02-19,0.8805583303721404
2018-02-26,0.9267468351401823
2018-03-05,0.9067592661992928
2018-03-12,0.8997420150109156
2018-03-19,0.8825542079318625
2018-03-26,0.868482470637802
2018-04-02,0.879447580777447
2018-04-09,0.8697202624980594
2018-04-16,0.8588205951365998
2018-04-23,0.8679227974369522
2018-04-30,0.8872647331385304
2018-05-07,0.8605974884937887
2018-05-14,0.8760374343944805
2018-05-21,0.8506758280047114
2018-05-28,0.7927766581348122
2018-06-04,0.7839827392064311
2018-06-11,0.7112001397330064
2018-06-18,0.6752394002871311
2018-06-25,0.6801793559486213
2018-07-02,0.6916629415664145
2018-07-09,0.7436455910711255
2018-07-16,0.7663845914383396
2018-07-23,0.8139391703865154
2018-07-30,0.8320979672496233
2018-08-06,0.8545651052636356
2018-08-13,0.7858958204618579
2018-08-20,0.7896453906958795
2018-08-27,0.7802843633252222
2018-09-03,0.7963862671934575
2018-09-10,0.7970349030309831
2018-09-17,0.7775931515112757
2018-09-24,0.8361887250880071
2018-10-01,0.8238033929338189
2018-10-08,0.8744982150061735
2018-10-15,0.8840868307341968
2018-10-22,0.9141204954280409
2018-10-29,0.9298223896779312
2018-11-05,0.965483008608887
2018-11-12,0.9481550833885172
2018-11-19,0.9782778066559729
2018-11-26,0.9433969472510375
2018-12-03,0.9763719710950325
2018-12-10,0.9733594482168125
2018-12-17,0.9670831014410235
2018-12-24,0.9424845712161316
2018-12-31,0.9687925474166258
2019-01-07,1.036645781931092
2019-01-14,1.058456428909605
2019-01-21,1.0901715996592118
2019-01-28,1.109688519589057
2019-02-04,1.1113810470022987
2019-02-11,1.085928639286037
2019-02-18,1.1152993987623587
2019-02-25,1.11491482265462
2019-03-04,1.0798121666692213
2019-03-11,1.0853734060827631
2019-03-18,1.129411786113093
2019-03-25,1.072030103385657
2019-04-01,1.1015174038465416
2019-04-08,1.1198150638054232
2019-04-15,1.0773088471145367
2019-04-22,1.0881593184669616
2019-04-29,1.0998584053040186
2019-05-06,1.0898086387354577
2019-05-13,1.079242248062007
2019-05-20,1.04664639220387
2019-05-27,1.0838835116899608
2019-06-03,1.125409834692136
2019-06-10,1.1327352932537142
2019-06-17,1.1269004488247532
2019-06-24,1.1527152196216373
2019-07-01,1.1565950315446845
2019-07-08,1.1823651519014
2019-07-15,1.1863107194915963
2019-07-22,1.1866981620054677
2019-07-29,1.1649887777720875
2019-08-05,1.15675217589425
2019-08-12,1.1631334706488536
2019-08-19,1.118923101129773
2019-08-26,1.1137522151122803
2019-09-02,1.1450794855977262
2019-09-09,1.159887199101442
2019-09-16,1.164979250077103
2019-09-23,1.1533651392398754
2019-09-30,1.1527611535951574
2019-10-07,1.1248812497325504
2019-10-14,1.1296474914502481
2019-10-21,1.1364167913946994
2019-10-28,1.1677080817303265
2019-11-04,1.1709345247351555
2019-11-11,1.1704865565296299
2019-11-18,1.1471002597636821
2019-11-25,1.1683592426247718
2019-12-02,1.166519350623849
2019-12-09,1.192867870687357
2019-12-16,1.211905059724858
2019-12-23,1.2365868413901808
2019-12-30,1.2570013700518943
